objectid,parentid,filename,title,date,description,subject,location,latitude,longitude,source,type,format,rights,rightsstatement
turtle029,turtle030,015-ST-seashell-green_brown-side.jpg,Seashell Sea Turtle,2010,"A side view of a decorative seashell turtle figurine. The rock it sits on measures approximately 5 cm from top to bottom. The shell of the turtle is made up of a seashell while the limbs and other decorative elements, including the location label, are made from polymer clay.",sea turtle;seashell;rock;polymer clay;green;brown;small,"Mazatlan, Mexico",23.25012007,-106.4082293,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle030,,015-ST-seashell-green_brown-top.jpg,Seashell Sea Turtle,2010,"A top view of a decorative seashell turtle figurine. The rock it sits on measures approximately 5 cm from top to bottom. The shell of the turtle is made up of a seashell while the limbs and other decorative elements, including the location label, are made from polymer clay.",sea turtle;seashell;rock;polymer clay;green;brown;small,"Mazatlan, Mexico",23.25012007,-106.4082293,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle031,turtle032,016-T-wood-tan-side.jpg,Wood Tortoise,2024,"A side view of a decorative wood turtle figurine. It measures approximately 9 cm from head to tail.  A ""Made in Germany"" sticker can be found on the underside.",tortoise;wood;mahogany;tan;medium,"Munich, Germany",48.13570453,11.58360369,"Family, Parent, Dad",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle032,,016-T-wood-tan-top.jpg,Wood Tortoise,2024,"A top view of a decorative wood turtle figurine. It measures approximately 9 cm from head to tail.  A ""Made in Germany"" sticker can be found on the underside.",tortoise;wood;mahogany;tan;medium,"Munich, Germany",48.13570453,11.58360369,"Family, Parent, Dad",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle033,turtle034,017-ST-clay-green-side.jpg,Clay Sea Turtle,2007,A side view of a decorative clay turtle figurine. The nutshell it sits on measures approximately 1.5 cm from top to bottom. The turtle is made of polymer clay with details painted on.,sea turtle;polymer clay;paint;nutshell;green;extra small,"Boston, USA",42.35570392,-71.05688798,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle034,,017-ST-clay-green-top.jpg,Clay Sea Turtle,2007,A top view of a decorative clay turtle figurine. The nutshell it sits on measures approximately 1.5 cm from top to bottom. The turtle is made of polymer clay with details painted on.,sea turtle;polymer clay;paint;nutshell;green;extra small,"Boston, USA",42.35570392,-71.05688798,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle035,turtle036,018-ST-wood-multicolor-side.jpg,Wood Sea Turtle,2007,A side view of a decorative copal wood turtle figurine. It measures approximately 7.5 cm from head to tail. The figure uses the Alebrije technique which can be found all over the region.,sea turtle;wood;copal;paint;multicolor;small,"Oaxaca, Mexico",17.0712021,-96.72463561,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle036,,018-ST-wood-multicolor-side.jpg,Wood Sea Turtle,2007,A top view of a decorative copal wood turtle figurine. It measures approximately 7.5 cm from head to tail. The figure uses the Alebrije technique which can be found all over the region.,sea turtle;wood;copal;paint;multicolor;small,"Oaxaca, Mexico",17.0712021,-96.72463561,"Family, Parent",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle037,turtle016,008-FW-obsidian-black-side-2.jpg,Obsidian Freshwater Turtle,2010,Another side view of a decorative obsidian turtle figurine. It measures approximately 7.5 cm from head to tail. The turtle is black with a metallic sheen patch on one side.,freshwater turtle;rock;obsidian;black;small,"Tequila, Mexico",20.88197217,-103.832643,"Family, Parent, Dad",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
turtle038,turtle020,010-ST-seashell-tan-side-2.jpg,Seashell Sea Turtle,2000,"Another side view of a decorative seashell turtle figurine. It measures approximately 8 cm from head to tail. The turtle has the location written on the shell, and has also been personalized.",sea turtle;seashell;adhesive;markers;mesh fabric;tan;small,"Veracruz, Mexico",19.17551061,-96.13390184,"Family, Grandmother",Image;StillImage,image/jpeg,CC BY-NC,https://creativecommons.org/licenses/by-nc/4.0/
